,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,name
0,540,35,30,20,34,38,26,53,41,177,369,44,44,30,42,61,32,53,43,276,adhast
1,431,39,34,24,44,43,31,63,55,231,274,45,47,38,48,44,35,60,54,350,adhast
2,431,42,36,27,46,43,31,64,54,223,270,48,51,33,48,45,34,65,59,343,adhast
3,451,39,35,25,42,40,29,61,51,222,286,46,51,34,49,46,32,60,56,335,adhast
4,447,39,36,24,43,41,33,60,52,219,276,45,51,36,51,49,36,64,54,333,adhast
5,440,41,36,23,43,44,34,63,52,220,277,51,52,32,50,49,31,65,55,333,adhast
6,461,38,35,23,42,40,30,59,49,218,294,48,50,32,49,52,31,61,52,326,adhast
7,531,32,29,17,38,37,25,52,44,190,375,40,42,29,42,56,29,50,43,289,adhast
8,443,41,37,26,42,42,32,62,50,219,282,45,48,32,49,50,32,65,53,339,adhast
9,498,38,34,21,38,44,27,57,45,194,335,43,45,33,46,59,33,54,47,300,adhast
10,503,37,31,21,38,42,27,53,45,198,334,42,44,34,47,60,34,53,47,298,adhast
11,484,40,33,23,38,45,28,57,45,202,319,41,45,32,46,61,35,58,49,308,adhast
12,448,41,35,23,42,45,28,60,48,224,272,44,45,35,50,56,37,67,54,334,adhast
13,446,43,37,25,42,42,29,60,50,222,269,45,46,38,51,51,40,65,57,333,adhast
14,496,43,35,23,42,47,28,62,43,177,334,45,47,34,55,51,32,60,54,283,ajbake
15,372,40,37,27,74,39,27,61,53,266,242,36,44,29,63,42,31,63,62,384,ajbake
16,408,47,41,28,55,45,36,69,55,211,249,46,53,32,61,39,34,68,64,350,ajbake
17,405,46,40,26,55,52,36,70,56,210,245,43,52,32,64,42,34,68,66,350,ajbake
18,401,47,41,27,55,47,39,72,54,212,241,44,49,33,65,46,31,69,64,354,ajbake
19,506,39,36,20,42,45,28,59,45,175,339,46,50,33,52,51,33,58,51,282,ajbake
20,401,45,41,27,56,46,39,72,55,213,239,43,54,34,63,41,33,69,62,356,ajbake
21,508,40,36,21,42,43,28,59,43,175,351,42,48,32,51,50,33,59,51,279,ajbake
22,504,42,36,22,40,46,28,61,43,173,337,44,47,34,54,52,35,61,51,279,ajbake
23,503,40,34,22,43,42,27,57,44,184,339,43,48,34,52,48,34,57,52,288,ajbake
24,494,39,33,24,44,41,29,59,49,182,342,42,48,30,52,44,33,58,54,291,ajbake
25,526,44,36,20,37,53,29,68,43,139,319,53,57,37,58,55,33,70,59,256,apapou
26,523,44,34,22,38,50,26,65,44,148,339,46,51,33,51,62,31,65,54,263,apapou
27,467,48,38,24,46,50,29,71,51,170,290,49,54,33,61,49,31,66,62,299,apapou
28,469,43,34,23,43,52,34,74,55,167,306,46,48,29,57,42,32,68,60,306,apapou
29,525,46,35,23,36,56,30,60,40,142,333,49,49,34,56,53,34,68,61,257,apapou
30,491,45,38,23,40,53,36,70,49,150,327,46,46,28,56,43,34,70,59,286,apapou
31,511,47,36,24,37,57,30,64,45,143,325,51,54,36,56,51,34,67,59,260,apapou
32,526,45,36,21,37,52,28,66,45,138,336,50,57,33,55,51,35,64,55,258,apapou
33,515,46,38,24,35,54,30,67,45,140,323,55,55,35,56,54,32,68,58,259,apapou
34,522,45,35,22,37,49,31,69,45,140,336,50,52,34,55,53,31,68,57,260,apapou
35,534,45,34,22,35,54,28,63,45,135,333,53,55,33,53,54,34,67,55,257,apapou
36,468,38,34,20,38,43,27,61,52,213,309,39,43,33,50,50,33,61,55,322,apdavi
37,340,36,37,27,69,35,37,64,60,289,222,36,44,28,59,29,29,68,64,416,apdavi
38,376,34,34,25,57,35,40,73,62,258,265,35,41,27,55,24,29,62,63,394,apdavi
39,364,34,37,26,60,34,38,70,64,267,249,36,43,27,58,27,29,65,65,396,apdavi
40,366,38,36,29,58,39,41,71,64,252,240,36,46,30,56,33,31,67,64,392,apdavi
41,392,37,37,29,57,38,39,71,60,235,263,36,43,29,53,34,30,69,63,376,apdavi
42,395,37,37,24,55,42,37,70,60,239,262,36,44,28,57,38,29,66,61,373,apdavi
43,464,40,35,20,38,45,25,64,50,214,299,41,47,31,53,50,34,62,56,322,apdavi
44,443,40,37,24,41,47,30,68,51,214,292,39,44,31,54,49,35,62,59,330,apdavi
45,467,36,35,22,41,45,29,60,50,209,302,39,42,33,48,52,37,64,58,320,apdavi
46,349,39,34,28,77,29,24,50,47,318,231,36,43,28,64,40,26,62,55,409,apdavi
47,297,39,35,29,81,34,30,56,51,342,201,29,36,28,65,32,27,65,64,448,apdavi
48,605,36,28,19,31,44,22,45,34,132,413,50,47,30,39,63,33,55,42,222,ardper
49,461,41,38,24,48,47,31,58,48,200,299,51,52,31,49,48,29,65,51,320,ardper
50,474,41,38,23,43,44,29,60,48,194,302,52,52,31,52,52,29,63,51,311,ardper
51,481,40,36,23,46,41,30,58,48,191,321,48,51,30,50,49,28,62,50,306,ardper
